leaguePosition,team,player,ban1,ban2,ban3,ban4,ban5
lckMID,Afreeca Freecs,Fly,Aphelios,Kalista,Renekton,Braum,Gwen
lckMID,Afreeca Freecs,Fly,Viego,Lucian,Renekton,Ziggs,Rell
lckMID,Afreeca Freecs,Fly,Lucian,Irelia,Jayce,Lee Sin,Diana
lckMID,Afreeca Freecs,Fly,Lucian,Jayce,Viego,Gwen,Gnar
lckMID,Afreeca Freecs,Fly,Viego,Lee Sin,Aphelios,Ashe,Irelia
lckMID,Afreeca Freecs,Fly,Viego,Renekton,Lee Sin,Leona,Jayce
lckMID,Afreeca Freecs,Fly,Irelia,Lee Sin,Thresh,Gwen,Gnar
lckMID,Afreeca Freecs,Fly,Diana,Lucian,Jayce,Irelia,Camille
lckMID,Afreeca Freecs,Fly,Diana,Lucian,Jayce,Irelia,Kennen
lckMID,Afreeca Freecs,Fly,Lucian,Renekton,Jayce,Kennen,Sylas
lckMID,Afreeca Freecs,Fly,Lucian,Renekton,Jayce,Kennen,Sylas
lckMID,Afreeca Freecs,Fly,Irelia,Lucian,Jayce,Sylas,Camille
lckMID,Afreeca Freecs,Fly,Lucian,Renekton,Trundle,Karma,Kennen
lckMID,Afreeca Freecs,Fly,Irelia,Lucian,Trundle,Gangplank,LeBlanc
lckTOP,Afreeca Freecs,Kiin,Gnar,Lucian,Nocturne,Gragas,Gwen
lckTOP,Afreeca Freecs,Kiin,Gnar,Lucian,Nocturne,Gragas,Akali
lckTOP,Afreeca Freecs,Kiin,Lucian,Nocturne,Akali,Ezreal,Kalista
lckTOP,Afreeca Freecs,Kiin,Lulu,Nocturne,Lee Sin,Kalista,Kai'Sa
lckTOP,Afreeca Freecs,Kiin,Lulu,Nocturne,Akali,Thresh,Irelia
lckTOP,Afreeca Freecs,Kiin,Lucian,Udyr,Renekton,Nocturne,Sylas
lckTOP,Afreeca Freecs,Kiin,Ezreal,Akali,Lee Sin,Nocturne,Viego
lckTOP,Afreeca Freecs,Kiin,Sylas,Akali,Lee Sin,Braum,Viego
lckTOP,Afreeca Freecs,Kiin,Sylas,Akali,Lee Sin,Leona,Viego
lckTOP,Afreeca Freecs,Kiin,Akali,Lucian,Rumble,Nautilus,Sylas
lckTOP,Afreeca Freecs,Kiin,Rumble,Lucian,Lee Sin,Olaf,Sylas
lckTOP,Afreeca Freecs,Kiin,Akali,Sylas,Lee Sin,Azir,Udyr
lckTOP,Afreeca Freecs,Kiin,Azir,Akali,Nocturne,Gragas,Sett
lckTOP,Afreeca Freecs,Kiin,Azir,Akali,Nocturne,Gragas,Taric
lckTOP,Afreeca Freecs,Kiin,Akali,Lucian,Renekton,Azir,LeBlanc
lckTOP,Afreeca Freecs,Kiin,Akali,Lucian,Leona,Gnar,Nocturne
lckTOP,Afreeca Freecs,Kiin,Lucian,Akali,Leona,Azir,Orianna
lckTOP,Afreeca Freecs,Kiin,Lee Sin,Nocturne,Akali,Azir,Lucian
lckTOP,Afreeca Freecs,Kiin,Ezreal,Akali,Lucian,Leona,Varus
lckTOP,Afreeca Freecs,Kiin,Ezreal,Lee Sin,Akali,Gwen,Azir
lckTOP,Afreeca Freecs,Kiin,Thresh,Akali,LeBlanc,Gnar,Leona
lckTOP,Afreeca Freecs,Kiin,Thresh,Akali,LeBlanc,Gnar,Leona
